Handling,CIVMID,ctb_ID,BadeaID,OldBadeaID,Specimens ID,Genotype,Sex,Lifestyle,Diet,Weight,DOB,Perfusion,Age_Months,Age_Imaging,Age_Years,Age_Handling,AgeExVivoMRI,Bruker_folder,ARunno,Second_Bruker_folder,Second_ARunno,SAMBA Brunno,DWI,GRE,T1,T2,Notes,Remark,Mn2Cl pump,fMRI,invivoDWI,Cardiac_ID,MicroCT_ID,Femur_Scan,Cohort_ID,NameGroup,Source,Cage#,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,Unnamed: 18,Unnamed: 19
211001_24,211001_24,,210614_31,210614_31 ,211001_24,APOE33HN,female ,Sedentary,HFD,52.0,6/19/2020,10/7/2017,15.83,16.0,1.333333333,11.96666667,15.83,,,,,,,,,,,,,,,,,,,25,In House,,,,,,,,,,,,
211001_25,211001_25,,210614_7,210614_7 ,211001_25,APOE22HN,male,Sedentary,HFD,31.2,6/28/2020,10/4/2021,15.43,15.0,1.25,11.66666667,15.43,,,,,,,,,,,,,,,,,,,27,In House,,,,,,,,,,,,
211001_26,211001_26,,210614_17,210614_17 ,211001_26,APOE33HN,female,Sedentary,Control,26.7,6/15/2020,10/4/2021,15.87,16.0,1.333333333,12.1,15.87,,,,,,N60133_m00-m48,N60134,96,31,,,,,,,,,Sep2022scans,28,In House,,,,,,,,,,,,
211001_27,211001_27,,210614_18,210614_18 ,211001_27,APOE33HN,female,Sedentary,Control,26.8,6/15/2020,10/4/2021,15.87,16.0,1.333333333,12.1,15.87,,,,,,N60137_m00-m48,N60138,93,32,,,,,,,,,Sep2022scans,29,In House,,,,,,,,,,,,
211001_28,211001_28,,210614_19,210614_19 ,211001_28,APOE33HN,female,Sedentary,Control,28.7,6/15/2020,10/4/2021,15.87,16.0,1.333333333,12.1,15.87,,,,,,N60219_m00-m48,N60220,102,31,,,,,,,,,December2022scans,30,In House,,,,,,,,,,,,
211001_29,211001_29,,210614_20,210614_20 ,211001_29,APOE33HN,female,Sedentary,Control,30.0,6/15/2020,10/4/2021,15.87,16.0,1.333333333,12.1,15.87,,,,,,,,,,,,,,,,,,,31,In House,,,,,,,,,,,,
211001_3,211001_3,,210503_20,210503_20,211001_3,APOE22,male,Sedentary,Control,36.2,5/11/2020,9/30/2021,16.63,17.0,1.39,11.86666667,16.63,,,,,,,,,,,,,,,,,,,3,In House,,,,,,,,,,,,
211001_30,211001_30,,210614_21,210614_21,211001_30,APOE33HN,female,Sedentary,Control,34.3,6/15/2020,10/4/2021,15.87,16.0,1.333333333,12.1,15.87,,,,,,N60198_m00-m48,N60199,90,30,,,,,,,,,November2022scans,32,In House,,,,,,,,,,,,
211001_31,211001_31,,210614_27,210614_27 ,211001_31,APOE33HN,male,Sedentary,Control,31.8,6/27/2020,10/4/2021,15.47,15.0,1.25,11.7,15.47,,,,,,,,,,,,,,,,,,,33,In House,,,,,,,,,,,,
211001_32,211001_32,,210614_28,210614_28 ,211001_32,APOE33HN,male,Sedentary,Control,33.3,6/27/2020,10/4/2021,15.47,15.0,1.25,11.7,15.47,,,,,,N60221_m00-m48,N60222,89,30,,,,,,,,,December2022scans,34,In House,,,,,,,,,,,,
211001_33,211001_33,,210614_29,210614_29 ,211001_33,APOE33HN,male,Sedentary,Control,32.0,6/27/2020,10/4/2021,15.47,15.0,1.25,11.7,15.47,,,,,,,,,,,,,,,,,,,35,In House,,,,,,,,,,,,
211001_34,211001_34,,210614_30,210614_30 ,211001_34,APOE33HN,male,Sedentary,Control,29.5,6/27/2020,10/4/2021,15.47,15.0,1.25,11.7,15.47,,,,,,,,,,,,,,,,,,,36,In House,,,,,,,,,,,,
211001_35,211001_35,,211001_35,Cage 1414913_1,211001_35,CVN,male ,Sedentary,Control,28.6,9/6/2020,10/6/2021,13.16666667,13.0,1.097222222,,,,,,,,,,,,,,,,,,,,,37,Colton lab,,,,,,,,,,,,
211001_36,211001_36,,211001_36,Cage 1248386_1,211001_36,CVN,male ,Sedentary,Control,29.1,9/12/2020,10/6/2021,12.96666667,13.0,1.080555556,,,,,,,,,,,,,,,,,,,,,38,Colton lab,,,,,,,,,,,,
211001_37,211001_37,,211001_37,Cage 1248386_2,211001_37,CVN,male,Sedentary,Control,28.5,9/12/2020,10/6/2021,12.96666667,13.0,1.080555556,,,,,,,,,,,,,,,,,,,,,39,Colton lab,,,,,,,,,,,,
211001_38,211001_38,,211001_38,Cage 1248386_3,211001_38,CVN,male ,Sedentary,Control,29.6,9/12/2020,10/6/2021,12.96666667,13.0,1.080555556,,,,,,,,,,,,,,,,,,,,,40,Colton lab,,,,,,,,,,,,
211001_39,211001_39,,211001_39,Cage 1248386_4,211001_39,CVN,male ,Sedentary,Control,26.1,9/12/2020,10/6/2021,12.96666667,13.0,1.080555556,,,,,,,,,,,,,,,,,,,,,41,Colton lab,,,,,,,,,,,,
211001_4,211001_4,,210503_21,210503_21,211001_4,APOE22,female,Sedentary,Control,28.8,5/11/2020,9/30/2021,16.63,17.0,1.39,11.86666667,16.63,,,,,,,,,,,,,,,,,,,4,In House,,,,,,,,,,,,
211001_40,211001_40,,211001_40,Cage 1170422_1,211001_40,CVN,male ,Sedentary,Control,31.9,9/27/2020,10/6/2021,12.46666667,12.0,1.038888889,,,,,,,,,,,,,,,,,,,,,42,Colton lab,,,,,,,,,,,,
211001_41,211001_41,,211001_41,Cage 1170422_2,211001_41,CVN,male ,Sedentary,Control,32.4,9/27/2020,10/6/2021,12.46666667,12.0,1.038888889,,,,,,,,,,,,,,,,,,,,,43,Colton lab,,,,,,,,,,,,
211001_42,211001_42,,211001_42,Cage 1170422_3,211001_42,CVN,male ,Sedentary,Control,30.6,9/27/2020,10/6/2021,12.46666667,12.0,1.038888889,,,,,,,,,,,,,,,,,,,,,44,Colton lab,,,,,,,,,,,,
211001_43,211001_43,,211001_43,Cage 1170422_4,211001_43,CVN,male ,Sedentary,Control,29.3,9/27/2020,10/6/2021,12.46666667,12.0,1.038888889,,,,,,,,,,,,,,,,,,,,,45,Colton lab,,,,,,,,,,,,
211001_44,211001_44,,211001_44,Cage 1170422_5,211001_44,CVN,male ,Sedentary,Control,32.4,9/27/2020,10/6/2021,12.46666667,12.0,1.038888889,,,,,,,,,,,,,,,,,,,,,46,Colton lab,,,,,,,,,,,,
211001_5,211001_5,,210503_22,210503_22,211001_5,APOE22,female,Sedentary,Control,25.8,5/11/2020,9/30/2021,16.63,17.0,1.39,11.86666667,16.63,,,,,,,,,,,,,,,,,,,5,In House,,,,,,,,,,,,
211001_6,211001_6,,210614_2,210614_2,211001_6,APOE22HN,female,Sedentary,HFD,40.9,6/28/2020,9/30/2021,15.07,15.0,1.26,11.66666667,15.07,,,,,,N60056_m00-m48,N60057,100,33,MRSOLUTIONS,,,,,,,,july2022scans,6,In House,,,,,,,,,,,,
211001_7,211001_7,,210614_3,210614_3,211001_7,APOE22HN,female,Sedentary,HFD,33.9,6/28/2020,9/30/2021,15.07,15.0,1.26,11.66666667,15.07,,,,,,N60058_m00-m48,N60059,97,31,MRSOLUTIONS,,,,,,,,july2022scans,7,In House,,,,,,,,,,,,
211001_8,211001_8,,210614_4,210614_4,211001_8,APOE22HN,female,Sedentary,HFD,27.3,6/28/2020,9/30/2021,15.07,15.0,1.26,11.66666667,15.07,,,,,,N60060_m00-m48,N60061,99,30,MRSOLUTIONS,,,,,,,,july2022scans,8,In House,,,,,,,,,,,,
211001_9,211001_9,,210614_5,210614_5,211001_9,APOE22HN,female,Sedentary,HFD,28.2,6/28/2020,9/30/2021,15.07,15.0,1.26,11.66666667,15.07,,,,,,N60062_m00-m48,N60063,85,31,MRSOLUTIONS,,,,,,,,july2022scans,9,In House,,,,,,,,,,,,
211004_1,211004_1,,211004_1,211004_1,211004_1,APOE33,male ,Sedentary,Control,37.1,10/14/2020,11/1/2021,13.17,13.0,1.083333333,12.2,13.17,DIED,A21100401,,,,N58997-m00-m48,N58998,103,26, ,,1.0,0,,,,,,26,In House,,,,,,,,,,,,
211004_10,211004_10,,211004_15,211004_15,211004_10,APOE44HN,male,Sedentary,HFD,40.7,10/4/2020,11/30/2021,14.07,14.0,1.166666667,12.13333333,14.07,211004_15_18abb11,A21100410,,,,,,,,,,1.0,0,,,,,,35,In House,,,,,,,,,,,,
211004_11,211004_11,,211004_16,211004_16,211004_11,APOE44HN,male ,Sedentary,HFD,43.5,10/4/2020,11/30/2021,14.07,14.0,1.166666667,12.13333333,14.07,211004_16_18abb11,A21100411,,,,,,,,,,1.0,0,,,,,,36,In House,,,,,,,,,,,,
211004_12,211004_12,,211004_17,211004_17,211004_12,APOE44HN,male ,Sedentary,HFD,45.3,10/4/2020,11/30/2021,14.07,14.0,1.166666667,12.13333333,14.07,211004_17_18abb11,A21100412,,,,,,,,,,1.0,0,,,,,,37,In House,,,,,,,,,,,,
211004_13,211004_13,,211004_10,211004_10,211004_13,APOE44HN,female ,Sedentary,Control,25.6,10/4/2020,11/30/2021,14.07,14.0,1.166666667,12.13333333,14.07,211004_10_18abb11,A21100413,,,,N59076_m00-m48,N59077,103,24,,,1.0,0,,,,,,38,In House,,,,,,,,,,,,
211004_14,211004_14,,211004_11,211004_11,211004_14,APOE44HN,female ,Sedentary,Control,27.4,10/4/2020,11/30/2021,14.07,14.0,1.166666667,12.13333333,14.07,211004_11_18abb11,A21100414,,,,N60157_m00-m48,N60158,109,32,,,1.0,0,,,,,October2022scan,39,In House,,,,,,,,,,,,
211004_15,211004_15,,211004_12,211004_12,211004_15,APOE44HN,female ,Sedentary,Control,21.3,10/4/2020,12/1/2021,14.1,14.0,1.166666667,12.13333333,14.1,211004_12_18abb11,A21100415,,,,N60159_m00-m48,N60160,93,32,,,1.0,0,,,,,October2022scan,40,In House,,,,,,,,,,,,
211004_16,211004_16,,211004_13,211004_13,211004_16,APOE44HN,female ,Sedentary,Control,22.8,10/4/2020,12/1/2021,14.1,14.0,1.166666667,12.13333333,14.1,211004_13_18abb11,A21100416,,,,,,,,,,1.0,0,,,,,,41,In House,,,,,,,,,,,,
211004_2,211004_2,,211004_2,211004_2,211004_2,APOE33,male ,Sedentary,Control,36.3,10/14/2020,11/1/2021,13.17,13.0,1.083333333,12.2,13.17,DIED,A21100402,,,,N58999-m00-m48,N59000,97,23, ,,1.0,0,,,,,,27,In House,,,,,,,,,,,,
211004_3,211004_3,,211004_3,211004_3,211004_3,APOE33,male ,Sedentary,Control,37.2,10/2/2020,11/1/2021,12.77,13.0,1.083333333,11.8,12.77,DIED,A21100403,,,,N59010-m00-m48,N59011,83,21, ,,1.0,0,,,,,,28,In House,,,,,,,,,,,,
211004_4,211004_4,,211004_19,211004_19,211004_4,APOE44,male ,Sedentary,Control,31.0,4/5/2020,11/16/2021,19.67,20.0,1.666666667,18.2,19.67,211001_19_18abb11,A21100404,,,,,,,,,,1.0,0,,,,,,29,In House,,,,,,,,,,,,
211004_5,211004_5,,211004_20,211004_20,211004_5,APOE44,female ,Sedentary,Control,29.3,4/5/2020,11/16/2021,19.67,20.0,1.666666667,18.2,19.67,211001_20_18abb11_111621_1_2,A21100405,,,,,,,,,,1.0,0,,,,,,30,In House,,,,,,,,,,,,
211004_6,211004_6,,211004_21,211004_21,211004_6,APOE44HN,male ,Sedentary,Control,29.2,4/20/2020,11/16/2021,19.17,19.0,1.583333333,17.7,19.17,Deleted_Or_Missing,A21100406,,,,,,,,,,1.0,0,,,,,,31,In House,,,,,,,,,,,,
211004_7,211004_7,,211004_5,211004_5,211004_7,APOE33,female,Sedentary,HFD,46.6,10/2/2020,11/30/2021,14.13,14.0,1.166666667,12.2,14.13,211004_5_18abb11,A21100407,,,,,,,,,,1.0,0,,,,,,32,In House,,,,,,,,,,,,
211004_8,211004_8,,211004_9,211004_9,211004_8,APOE33,female,Sedentary,HFD,42.6,10/14/2020,11/30/2021,13.73,14.0,1.166666667,11.8,13.73,211004_9_18abb11,A21100408,,,,,,,,,,1.0,0,,,,,,33,In House,,,,,,,,,,,,
211004_9,211004_9,,211004_14,211004_14,211004_9,APOE44HN,male ,Sedentary,HFD,43.1,10/4/2020,11/30/2021,14.07,14.0,1.166666667,12.13333333,14.07,211004_14_18abb11,A21100409,,,,N59078_m00-m48,N59079,105,24,,,1.0,0,,,,,,34,In House,,,,,,,,,,,,
211122_1,211122_1,,211122_1,211122_1,211122_1,APOE22HN,female ,Sedentary,HFD,37.0,11/15/2020,1/19/2022,14.33,14.0,1.166666667,12.4,14.33,211122_1_apoe_b,A21112201,,,,N60064_m00-m48,N60065,80,29,MRSOLUTIONS,,1.0,0,,,,,july2022scans,1,In House,,,,,,,,,,,,
211122_10,211122_10,,211122_10,211122_10,211122_10,APOE22HN,male,Sedentary,Control,31.0,11/7/2020,1/20/2022,14.63,15.0,1.25,12.66666667,14.63,211122_10,A21112210,,,,N60167_m00-m48,N60168,90,31,,,1.0,0,,,,,October2022scan,10,In House,,,,,,,,,,,,
211122_11,211122_11,,211122_11,211122_11,211122_11,APOE22HN,male,Sedentary,Control,31.0,11/7/2020,1/20/2022,14.63,15.0,1.25,12.66666667,14.63,211122_11,A21112211,,,,N60194_m00-m48,N60195,87,31,,,1.0,0,,,,,November2022scans,11,In House,,,,,,,,,,,,
211122_12,211122_12,,211122_12,211122_12,211122_12,APOE22HN,male,Sedentary,Control,30.0,11/7/2020,1/20/2022,14.63,15.0,1.25,12.66666667,14.63,211122_12,A21112212,,,,,,,,,,1.0,0,,,,,,12,In House,,,,,,,,,,,,
211122_13,211122_13,,211122_13,211122_13,211122_13,APOE22HN,male,Sedentary,Control,33.0,11/17/2020,1/26/2022,14.5,15.0,1.25,12.33333333,14.5,211122_13,A21112213,,,,,,,,,,1.0,0,,,,,,13,In House,,,,,,,,,,,,
211122_14,211122_14,,211122_14,211122_14,211122_14,APOE22HN,male,Sedentary,Control,31.0,11/17/2020,1/26/2022,14.5,15.0,1.25,12.33333333,14.5,211122_14,A21112214,,,,,,,,,,1.0,0,,,,,,14,In House,,,,,,,,,,,,
211122_15,211122_15,,211122_15,211122_15,211122_15,APOE22HN,male,Sedentary,Control,29.0,11/19/2020,1/26/2022,14.43,14.0,1.166666667,12.26666667,14.43,211122_15,A21112215,,,,,,,,,,1.0,0,,,,,,15,In House,,,,,,,,,,,,
211122_16,211122_16,,211122_16,211122_16,211122_16,APOE22HN,male,Sedentary,Control,32.0,11/19/2020,1/27/2022,14.47,14.0,1.166666667,12.26666667,14.47,211122_16_apoe,A21112216,,,,,,,,,,1.0,0,,,,,,16,In House,,,,,,,,,,,,
211122_2,211122_2,,211122_2,211122_2,211122_2,APOE22HN,female ,Sedentary,HFD,38.0,11/15/2020,1/19/2022,14.33,14.0,1.166666667,12.4,14.33,211122_2,A21112202,,,,N60101_m00-m48,N60102,88,30,,,1.0,0,,,,,august2022scans,2,In House,,,,,,,,,,,,
211122_23,211122_23,,211122_23,211122_23,211122_23,APOE22HN,male,Sedentary,Control,31.0,5/11/2020,1/26/2022,20.83,21.0,1.75,18.66666667,20.83,211122_23,A21112223,,,,,,,,,,1.0,0,,,,,,17,In House,,,,,,,,,,,,
211122_24,211122_24,,211122_24,211122_24,211122_24,APOE22HN,male,Sedentary,Control,31.0,6/16/2020,1/26/2022,19.63,20.0,1.666666667,17.46666667,19.63,211122_24,A21112224,,,,,,,,,,1.0,0,,,,,,18,In House,,,,,,,,,,,,
211122_25,211122_25,,211122_25,211122_25,211122_25,APOE22HN,male,Sedentary,Control,33.0,6/16/2020,1/27/2022,19.67,20.0,1.666666667,17.46666667,19.67,211122_25,A21112225,,,,,,,,,,1.0,0,,,,,,19,In House,,,,,,,,,,,,
211122_26,211122_26,,211122_26,211122_26,211122_26,APOE22HN,female ,Sedentary,Control,32.0,6/16/2020,1/27/2022,19.67,20.0,1.666666667,17.46666667,19.67,211122_26,A21112226,,,,,,,,,,1.0,0,,,,,,20,In House,,,,,,,,,,,,
211122_27,211122_27,,211122_27,211122_27,211122_27,APOE22HN,female ,Sedentary,Control,27.0,6/16/2020,1/27/2022,19.67,20.0,1.666666667,17.46666667,19.67,211122_27,A21112227,,,,,,,,,,1.0,0,,,,,,21,In House,,,,,,,,,,,,
211122_28,211122_28,,211122_28,211122_28,211122_28,APOE22HN,female ,Sedentary,Control,26.0,3/10/2020,1/27/2022,22.93,23.0,1.916666667,20.73333333,22.93,211122_28,A21112228,,,,,,,,,,1.0,0,,,,,,22,In House,,,,,,,,,,,,
211122_3,211122_3,,211122_3,211122_3,211122_3,APOE22HN,female ,Sedentary,HFD,39.0,11/15/2020,1/19/2022,14.33,14.0,1.166666667,12.4,14.33,211122_3,A21112203,,,,,,,,,,1.0,0,,,,,,3,In House,,,,,,,,,,,,
211122_4,211122_4,,211122_4,211122_4,211122_4,APOE22HN,female ,Sedentary,HFD,34.0,11/19/2020,1/19/2022,14.2,14.0,1.166666667,12.3,14.2,211122_4_apoe_bb,A21112204,,,,N60093_m00-m48,N60094,85,30,,,1.0,0,,,,,august2022scans,4,In House,,,,,,,,,,,,
211122_5,211122_5,,211122_5,211122_5,211122_5,APOE22HN,female ,Sedentary,HFD,32.0,11/7/2020,1/19/2022,14.6,15.0,1.25,12.66666667,14.6,211122_5,A21112205,,,,,,,,,,1.0,0,,,,,,5,In House,,,,,,,,,,,,
211122_6,211122_6,,211122_6,211122_6,211122_6,APOE22HN,female ,Sedentary,HFD,38.0,11/7/2020,1/19/2022,14.6,15.0,1.25,12.66666667,14.6,211122_6,A21112206,,,,,,,,,,1.0,0,,,,,,6,In House,,,,,,,,,,,,
211122_7,211122_7,,211122_7,211122_7,211122_7,APOE22HN,female ,Sedentary,HFD,45.0,11/11/2020,1/20/2022,14.5,15.0,1.25,12.53333333,14.5,211122_7,A21112207,,,,,,,,,,1.0,0,,,,,,7,In House,,,,,,,,,,,,
211122_8,211122_8,,211122_8,211122_8,211122_8,APOE22HN,female ,Sedentary,HFD,33.0,11/11/2020,1/20/2022,14.5,15.0,1.25,12.53333333,14.5,211122_8_apoe_18abb11_apoe,A21112208,,,,,,,,,,1.0,0,,,,,,8,In House,,,,,,,,,,,,
211122_9,211122_9,,211122_9,211122_9,211122_9,APOE22HN,male,Sedentary,Control,29.0,11/7/2020,1/20/2022,14.63,15.0,1.25,12.66666667,14.63,211122_9_apoe_b_11abb11,A21112209,,,,N60161_m00-m48,N60162,84,29,,,1.0,0,,,,,October2022scan,9,In House,,,,,,,,,,,,
211122_17,211122_17,,211122_17,211122_17,,APOE33HN,female,Sedentary ,Control ,26.0,11/23/2020,2/10/2022,14.8,15.0,1.233333333,14.8,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,19,,,,,,,,,,,,,
211122_18,211122_18,,211122_18,211122_18,,APOE33HN,female,Sedentary ,Control ,29.0,11/23/2020,2/10/2022,14.8,15.0,1.233333333,14.8,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,20,,,,,,,,,,,,,
211122_19,211122_19,,211122_19,211122_19,,APOE33HN,female,Sedentary ,Control ,29.0,11/23/2020,2/10/2022,14.8,15.0,1.233333333,14.8,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,21,,,,,,,,,,,,,
211122_20,211122_20,,211122_20,211122_20,,APOE33HN,female,Sedentary ,Control ,31.0,11/23/2020,2/10/2022,14.8,15.0,1.233333333,14.8,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,22,,,,,,,,,,,,,
211122_21,211122_21,,211122_21,211122_21,,APOE33HN,female,Sedentary ,Control ,30.0,11/23/2020,2/10/2022,14.8,15.0,1.233333333,14.8,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,23,,,,,,,,,,,,,
220107_1,220107_1,,220107_1,220107_1,,APOE44,male,Sedentary ,Control ,30.0,9/30/2020,1/7/2022,15.46666667,15.0,1.288888889,15.46666667,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,58,,,,,,,,,,,,,
220107_2 ,220107_2 ,,220107_2,220107_2 ,,APOE22HN,female,Sedentary ,Control ,25.0,10/12/2020,1/7/2022,15.06666667,15.0,1.255555556,15.06666667,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,51,,,,,,,,,,,,,
220107_3 ,220107_3 ,,220107_3,220107_3 ,,APOE22HN,female,Sedentary ,Control ,23.0,10/12/2020,1/7/2022,15.06666667,15.0,1.255555556,15.06666667,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,52,,,,,,,,,,,,,
220107_4 ,220107_4 ,,220107_4,220107_4 ,,APOE22HN,female,Sedentary ,Control ,30.0,11/15/2020,1/7/2022,13.93333333,14.0,1.161111111,13.93333333,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,50,,,,,,,,,,,,,
220110_1,220110_1,,220110_1,220110_1,220110_1,APOE22HN,male,Sedentary,HFD,47.0,1/6/2021,2/23/2022,13.77,14.0,1.166666667,12.3,13.77,220110_1,A22011001,,,,N60088_m00-m48,N60089,43,27,,,1.0,0,,,,,august2022scans,1,In House,,,,,,,,,,,,
220110_10,220110_10,,220110_10,220110_10,220110_10,APOE22HN,female ,Sedentary,Control,27.0,1/4/2021,2/24/2022,13.87,14.0,1.166666667,12.36666667,13.87,220110_10,A22011010,,,,,,,,,,1.0,0,,,,,,10,In House,,,,,,,,,,,,
220110_11,220110_11,,220110_11,220110_11,220110_11,APOE44,male,Sedentary,HFD,48.0,1/7/2021,2/24/2022,13.77,14.0,1.166666667,12.26666667,13.77,220110_11,A22011011,,,,,,,,,,1.0,0,,,,,,11,In House,,,,,,,,,,,,
220110_12,220110_12,,220110_12,220110_12,220110_12,APOE44,male,Sedentary,HFD,49.0,1/7/2021,2/24/2022,13.77,14.0,1.166666667,12.26666667,13.77,220110_12,A22011012,,,,,,,,,,1.0,0,,,,,,12,In House,,,,,,,,,,,,
220110_13,220110_13,,220110_13,220110_13,,APOE44HN,male,Sedentary ,Control ,34.0,11/30/2020,2/24/2022,15.03333333,15.0,1.252777778,15.03333333,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,1,,,,,,,,,,,,,
220110_14,220110_14,,220110_14,220110_14,,APOE44HN,male,Sedentary ,Control ,36.0,11/30/2020,3/10/2022,15.5,15.0,1.291666667,15.5,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,2,,,,,,,,,,,,,
220110_15,220110_15,,220110_15,220110_15,,APOE44HN,male,Sedentary ,Control ,32.0,11/30/2020,3/10/2022,15.5,15.0,1.291666667,15.5,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,3,,,,,,,,,,,,,
220110_2,220110_2,,220110_2,220110_2,220110_2,APOE22HN,male,Sedentary,HFD,39.0,1/6/2021,2/23/2022,13.77,14.0,1.166666667,12.3,13.77,220110_2_apoe_b,A22011002,,,,N60070_m00-m48,N60071,50,27,MRSOLUTIONS,,1.0,0,,,,,july2022scans,2,In House,,,,,,,,,,,,
220110_3,220110_3,,220110_3,220110_3,220110_3,APOE22HN,male,Sedentary,HFD,37.0,1/6/2021,2/23/2022,13.77,14.0,1.166666667,12.3,13.77,220110_3_apoe_b,A22011003,,,,N60072_m00-m48,N60073,60,22,MRSOLUTIONS,,1.0,0,,,,,july2022scans,3,In House,,,,,,,,,,,,
220110_4,220110_4,,220110_4,220110_4,220110_4,APOE22HN,male,Sedentary,HFD,48.0,1/6/2021,2/23/2022,13.77,14.0,1.166666667,12.3,13.77,220110_4,A22011004,,,,N60092_m00-m48,N60091,45,27,MRSOLUTIONS,,1.0,0,,,,,august2022scans,4,In House,,,,,,,,,,,,
220110_5,220110_5,,220110_5,220110_5,220110_5,APOE22HN,male,Sedentary,Control,29.0,1/6/2021,2/23/2022,13.77,14.0,1.166666667,12.3,13.77,220110_5,A22011005,,,,,,,,,,1.0,0,,,,,,5,In House,,,,,,,,,,,,
220110_6,220110_6,,220110_6,220110_6,220110_6,APOE22HN,male,Sedentary,Control,31.0,1/6/2021,2/23/2022,13.77,14.0,1.166666667,12.3,13.77,220110_6,A22011006,,,,,,,,,,1.0,0,,,,,,6,In House,,,,,,,,,,,,
220110_7,220110_7,,220110_7,220110_7,220110_7,APOE22HN,male,Sedentary,Control,33.0,1/26/2021,2/23/2022,13.1,13.0,1.083333333,11.63333333,13.1,220110_7_apoe_b,A22011007,,,,,,,,,,1.0,0,,,,,,7,In House,,,,,,,,,,,,
220110_8,220110_8,,220110_8,220110_8,220110_8,APOE22HN,female ,Sedentary,Control,27.0,1/4/2021,2/24/2022,13.87,14.0,1.166666667,12.36666667,13.87,220110_8,A22011008,,,,,,,,,,1.0,0,,,,,,8,In House,,,,,,,,,,,,
220110_9,220110_9,,220110_9,220110_9,220110_9,APOE22HN,female ,Sedentary,Control,26.0,1/4/2021,2/24/2022,13.87,14.0,1.166666667,12.36666667,13.87,220110_9,A22011009,,,,,,,,,,1.0,0,,,,,,9,In House,,,,,,,,,,,,
220111_1,220111_1,,220111_1,220111_1,,APOE22HN,male,Sedentary ,Control ,29.0,11/11/2020,1/11/2022,14.2,14.0,1.183333333,14.2,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,38,,,,,,,,,,,,,
220111_2,220111_2,,220111_2,220111_2,,APOE22HN,male,Sedentary ,Control ,38.0,11/11/2020,1/11/2022,14.2,14.0,1.183333333,14.2,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,39,,,,,,,,,,,,,
220111_3,220111_3,,220111_3,220111_3,,APOE22HN,male,Sedentary ,Control ,35.0,11/11/2020,1/11/2022,14.2,14.0,1.183333333,14.2,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,40,,,,,,,,,,,,,
220111_4,220111_4,,220111_4,220111_4,,APOE22HN,male,Sedentary ,Control ,32.0,11/11/2020,1/11/2022,14.2,14.0,1.183333333,14.2,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,41,,,,,,,,,,,,,
220112_1,220112_1,,220112_1,220112_1,,APOE22HN,female,Sedentary ,Control ,32.0,11/15/2020,1/12/2022,14.1,14.0,1.175,14.1,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,48,,,,,,,,,,,,,
220112_2,220112_2,,220112_2,220112_2,,APOE22HN,female,Sedentary ,Control ,30.0,11/15/2020,1/12/2022,14.1,14.0,1.175,14.1,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,49,,,,,,,,,,,,,
220203_1,220203_1,,220203_1,220203_1,,APOE33,female,Sedentary ,Control ,35.0,10/15/2020,2/3/2022,15.86666667,16.0,1.322222222,15.86666667,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,81,,,,,,,,,,,,,
220203_2,220203_2,,220203_2,220203_2,,APOE33,female,Sedentary ,Control ,29.0,10/15/2020,2/3/2022,15.86666667,16.0,1.322222222,15.86666667,,,,,,,,,,,,frozen the whole brain,0.0,,,,,,RNA Brain punches samples collection,82,,,,,,,,,,,,,
220203_3,220203_3,,220203_3,220203_3,,APOE33,female,Sedentary ,Control ,27.0,11/5/2020,2/3/2022,15.16666667,15.0,1.263888889,15.16666667,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,83,,,,,,,,,,,,,
220203_4,220203_4,,220203_4,220203_4,,APOE33,female,Sedentary ,Control ,34.0,10/15/2020,2/3/2022,15.86666667,16.0,1.322222222,15.86666667,,,,,,,,,,,,RNA,0.0,,,,,,RNA Brain punches samples collection,84,,,,,,,,,,,,,
